stfips,county_name,state,fips,cat_rucc,a_teca_ln,a_112tca_ln,a_dbcp_ln,a_tdi_ln,a_2clacephen_ln,a_2np_ln,a_pnp_ln,a_ch3cn_ln,a_acetophenone_ln,a_acrolein_ln,a_acrylic_acid_ln,a_c3h3n_ln,a_sb_ln,a_benzidine_ln,a_benzyl_cl_ln,a_be_ln,a_biphenyl_ln,a_dehp_ln,a_bromoform_ln,a_cd_ln,a_cs2_ln,a_ccl4,a_cs_ln,a_cl_ln,a_c6h5cl_ln,a_chloroform_ln,a_chloroprene_ln,a_cr_ln,a_cresol_ln,a_cumene_ln,a_cn_ln,a_dbp_ln,a_diesel_ln,a_dmf_ln,a_me2_phthalate_ln,a_me2so4_ln,a_ech_ln,a_etacrylate_ln,a_etcl_ln,a_edb_ln,a_edc_ln,a_egly_ln,a_eox_ln,a_edcl2_ln,a_glycol_ethers_ln,a_hcb_ln,a_hcbd_ln,a_hccpd_ln,a_hexane_ln,a_n2h2_ln,a_hcl_ln,a_isophorone_ln,a_pb_ln,a_mn_ln,a_hg_ln,a_meoh_ln,a_mibk_ln,a_mma_ln,a_mecl_ln,a_mehydrazine_ln,a_mtbe_ln,a_nitrobenzene_ln,a_dma_ln,a_otoluidine_ln,a_pahpom_ln,a_pcp_ln,a_ph3_ln,a_p_ln,a_pcbs_ln,a_procl2_ln,a_proo_ln,a_quinoline_ln,a_se_ln,a_stryene_ln,a_cl4c2_ln,a_toluene_ln,a_c2hcl3_ln,a_etn_ln,a_vyac_ln,a_vycl_ln,a_11dce_ln,a_pm10_mean_ln,a_pm25_mean,a_so2_mean_ln,a_no2_mean_ln,a_o3_mean_ln,a_co_mean_ln,countyname,state_name
1001,Autauga County,AL,1001,1,-4.385941,-5.052391,-13.6103,-8.087206,-31.70556,-16.48116,-10.19922,-9.410143,-4.197668,-2.899124,-17.35907,-4.904032,-10.9495,-18.48789,-13.15432,-9.934679,-9.713586,-0.216726,-27.31621,-9.782146,-4.818403,0.5011442,-8.516636,-10.19578,-7.974482,-2.502374,-12.11519,-6.736094,-4.067511,-6.03896,-2.903515,-9.093417,-0.945113,-6.29404,-10.75178,-14.9678,-13.73598,-14.692,-4.153328,-5.754979,-4.516663,-2.104984,-6.416854,-6.135733,-5.026668,-13.56903,-15.55543,-15.77869,-1.85172,-15.91093,-1.977615,-20.70043,-6.823497,-6.894561,-7.179439,-0.0351017,-1.407216,-6.841801,0.2864875,-27.10555,-2.810857,-13.36735,-9.533588,-15.12225,-4.52632,-10.77559,-12.94494,-30.44861,-7.979102,-5.455159,-8.281472,-8.763834,-9.116753,-2.748921,-2.758446,0.3690369,-3.149847,-5.443488,-8.261572,-5.110111,-8.293536,15.073,12.05819,2.366601,4.817517,6.258399,1.495872,Autauga County,Alabama
1003,Baldwin County,AL,1003,2,-4.385456,-14.24994,-13.6103,-8.208811,-16.06089,-17.39923,-10.89394,-7.72336,-11.53935,-2.719143,-7.575939,-6.067829,-12.58647,-16.1554,-11.75223,-10.38042,-9.381911,-0.2165937,-14.31993,-9.957549,-6.817383,0.5025072,-9.828173,-6.353096,-9.307071,-2.195422,-12.95552,-7.856181,-6.191075,-6.84031,-3.859245,-10.51091,-0.8477967,-7.524867,-11.90174,-13.94924,-8.923773,-9.423376,-6.995131,-5.78827,-4.445962,-3.169877,-5.617231,-11.00867,-5.805029,-14.31889,-16.44414,-16.68304,-2.147485,-13.62764,-1.953913,-10.44193,-6.474245,-7.100037,-7.162792,-2.084186,-2.002757,-6.894322,0.2493948,-10.92902,-3.382411,-12.9387,-9.992206,-16.53293,-4.426587,-13.81301,-13.98249,-14.73798,-8.324268,-5.444662,-8.877935,-11.34189,-9.697827,-3.887218,-2.482656,0.3519515,-3.849545,-6.171551,-9.419049,-5.082219,-10.08588,19.9946,11.11991,2.841814,5.512389,6.293029,2.555352,Baldwin County,Alabama
1005,Barbour County,AL,1005,3,-4.943471,-10.85282,-13.53285,-9.421164,-31.70556,-17.87829,-11.78332,-10.76507,-11.60525,-3.061263,-14.24424,-5.66573,-12.16918,-18.48789,-14.49435,-10.86746,-10.4791,-0.2168085,-27.31621,-9.980774,-7.575954,0.4967984,-10.01158,-8.285934,-8.612333,-2.630648,-13.111,-9.28958,-7.217533,-8.307398,-4.265667,-9.392176,-1.610417,-8.04861,-12.3415,-16.36419,-15.13264,-5.957008,-7.63421,-8.055138,-5.079966,-3.358116,-6.436113,-11.9531,-5.880805,-14.71771,-16.95155,-17.17502,-2.534016,-15.82002,-3.640196,-12.83766,-6.799105,-6.050566,-7.188689,-1.794842,-1.472822,-9.963161,0.2260042,-27.10555,-4.074451,-14.76473,-10.9366,-15.08351,-4.860535,-13.83095,-10.59108,-11.5741,-8.349055,-5.981083,-9.57392,-11.52913,-10.85171,-3.487759,-3.099843,-0.0725574,-3.656944,-9.946683,-9.854132,-10.08096,-10.55997,15.77231,12.36045,3.146611,5.210544,6.798412,2.976577,Barbour County,Alabama
1007,Bibb County,AL,1007,1,-5.952906,-9.329214,-13.6103,-9.428741,-16.09672,-18.34005,-12.54865,-11.22546,-10.99896,-3.55395,-11.56531,-4.647448,-12.31389,-18.48789,-11.90507,-10.6221,-11.49571,-0.2167574,-13.32376,-9.779618,-8.399295,0.4967216,-7.555678,-8.271975,-10.46581,-2.625549,-13.96777,-8.748343,-6.336762,-7.249928,-4.643054,-11.48883,-1.552017,-8.837787,-9.970398,-14.15299,-15.58063,-16.38776,-7.743406,-7.732947,-5.993604,-3.892334,-6.49613,-10.083,-4.49895,-15.0812,-17.38099,-17.60414,-3.0888,-15.76173,-3.153413,-8.692773,-6.817422,-6.105143,-7.178229,-2.9601,-2.765934,-10.98226,0.2249285,-12.96241,-3.799756,-15.22651,-11.55496,-13.30964,-4.482191,-9.576076,-13.98689,-30.44861,-8.454782,-7.643767,-9.350472,-9.94609,-10.69326,-4.756667,-3.226308,-0.9748452,-3.555278,-10.16729,-10.03063,-9.001493,-10.7167,14.92132,12.23991,2.032213,4.850309,6.334127,1.082475,Bibb County,Alabama
1009,Blount County,AL,1009,1,-5.251164,-14.00734,-13.6103,-8.590843,-16.15294,-17.57626,-11.6492,-10.46133,-10.99146,-3.690855,-14.85952,-4.111514,-13.73735,-17.98173,-11.89243,-10.29658,-10.38465,-0.2167335,-13.67056,-9.66938,-7.753629,0.4967719,-6.468773,-9.413447,-9.612495,-2.623493,-13.08947,-9.146971,-6.122164,-7.597279,-3.810227,-10.94238,-1.203375,-7.902716,-10.07111,-14.1127,-14.82159,-12.09341,-7.021636,-7.53475,-5.267832,-3.186008,-6.412185,-9.031541,-4.420901,-14.32685,-16.62857,-16.85168,-2.49886,-13.06382,-3.886826,-10.6295,-7.111709,-7.1702,-7.177865,-2.429861,-2.151284,-7.634221,0.2275355,-13.00526,-3.288222,-14.46285,-10.28659,-13.94594,-4.88562,-13.51541,-12.99111,-17.75117,-8.267713,-6.285736,-8.787134,-8.604005,-10.83022,-3.816767,-2.908607,-0.1288636,-3.217253,-8.868492,-9.204535,-7.645297,-9.976036,17.89501,12.97428,2.1876,4.55596,6.331387,2.236682,Blount County,Alabama
1011,Bullock County,AL,1011,3,-5.959108,-10.38142,-13.57962,-10.89928,-21.66477,-19.14459,-13.39908,-12.0239,-11.59386,-2.26137,-17.44335,-5.386226,-10.73422,-18.48789,-15.76894,-10.95951,-10.28667,-0.2167563,-18.35933,-9.71717,-7.225002,0.4967288,-8.944517,-9.681508,-10.08987,-2.664715,-14.76447,-9.563152,-7.314634,-9.285821,-5.467566,-11.98019,-1.828778,-9.620429,-13.25659,-17.60569,-16.3884,-8.984318,-8.572977,-7.96332,-6.076896,-4.746397,-6.437289,-10.74422,-7.163598,-15.78245,-18.19364,-18.41671,-3.679493,-15.91258,-4.614948,-10.55093,-7.116168,-7.068769,-7.189924,-3.477314,-3.703191,-10.42078,0.229923,-27.10555,-4.745456,-16.03107,-12.33686,-14.96772,-4.136439,-15.41116,-12.79747,-12.59723,-8.516368,-7.658375,-10.08888,-10.82011,-12.20351,-3.871179,-3.424601,-1.257093,-3.763659,-10.00635,-10.83042,-9.326916,-11.60153,15.94766,12.16115,3.048628,5.150687,6.480477,2.732001,Bullock County,Alabama
1013,Butler County,AL,1013,3,-4.872712,-15.90472,-13.6103,-9.041683,-31.70556,-17.89589,-11.77512,-10.79318,-12.08496,-3.588909,-16.10992,-5.520348,-13.75294,-18.40501,-14.53813,-10.89962,-10.69102,-0.2167418,-27.31621,-10.12669,-8.076618,0.4967372,-11.06795,-9.137541,-10.05142,-2.647043,-13.43366,-9.473767,-7.738756,-7.668958,-4.007508,-10.535,-1.575155,-7.835239,-12.1965,-16.38466,-15.15173,-15.9087,-7.293326,-7.717633,-4.961149,-3.590548,-6.401379,-11.87242,-6.421193,-14.34178,-16.97238,-17.19568,-2.452323,-15.91154,-4.401625,-31.24294,-7.44954,-6.785937,-7.190761,-2.382445,-3.12751,-9.724091,0.2260603,-27.10555,-2.971642,-14.78252,-10.93829,-16.44068,-5.061409,-11.32884,-13.38293,-15.53718,-8.258847,-5.912104,-9.572632,-10.94562,-11.35018,-1.35359,-3.260977,-0.6538897,-3.774304,-8.917873,-9.672508,-8.883958,-10.34437,13.1769,11.65888,2.626942,4.898861,6.36079,2.08181,Butler County,Alabama
1015,Calhoun County,AL,1015,1,-4.187775,-13.13598,-13.60989,-6.139199,-17.10499,-16.82052,-7.491395,-9.690677,-9.666846,-2.960534,-13.12095,-4.358215,-10.59659,-15.27561,-12.79864,-10.40173,-5.325634,-0.2167214,-12.79049,-9.368623,-6.894936,0.4969451,-9.175295,-10.54588,-8.950774,-2.53208,-12.30731,-6.201954,-6.509439,-6.406214,-3.265148,-9.780061,-0.6934816,-6.61423,-9.150265,-14.83182,-14.07315,-14.70252,-6.227703,-5.376825,-4.520053,-1.987029,-5.746684,-8.201199,-4.656809,-14.3032,-15.89053,-16.11359,-1.408819,-14.36918,-3.246082,-10.11016,-5.952642,-6.90144,-7.177975,-1.5066,-0.2765459,-8.519178,0.2440109,-14.54714,-2.358871,-13.70683,-9.312186,-12.67832,-4.682633,-13.54538,-12.6692,-15.70142,-8.270811,-5.279209,-8.299554,-10.56691,-9.807868,-3.256174,-2.89101,0.7296521,-2.557755,-4.684648,-8.15288,-4.638606,-9.201486,16.17032,13.14952,3.098401,5.174409,6.275754,3.258078,Calhoun County,Alabama
1017,Chambers County,AL,1017,3,-4.554226,-15.61674,-13.59683,-7.812265,-15.95304,-17.25655,-11.16325,-10.11142,-8.960196,-3.350833,-12.24075,-4.930171,-14.30074,-18.48789,-13.43988,-10.6108,-10.30619,-0.2167036,-12.975,-9.741805,-6.619516,0.4968044,-8.669799,-9.588076,-9.597243,-2.590481,-12.83994,-8.345639,-6.715297,-7.002167,-3.520995,-9.482547,-1.143347,-7.045371,-10.64947,-15.62052,-11.94391,-8.490027,-6.739701,-6.151671,-4.805697,-2.614519,-5.981617,-11.95874,-5.226807,-14.08585,-16.32616,-16.54936,-2.267926,-15.90196,-1.03846,-7.307223,-7.11377,-6.89995,-7.185483,-1.703694,-2.260298,-8.692071,0.2341819,-16.55179,-3.173105,-14.14321,-10.334,-11.14703,-5.034126,-13.28834,-10.73217,-30.44861,-8.214466,-5.618597,-8.615025,-10.97658,-10.28968,-3.527305,-2.877538,0.1043335,-3.320908,-8.757951,-8.042914,-5.574625,-9.246115,13.96567,12.31121,3.683746,5.293115,6.45209,3.116937,Chambers County,Alabama
1019,Cherokee County,AL,1019,4,-5.808868,-14.09718,-13.60349,-9.084889,-15.90917,-17.9863,-11.64683,-10.86658,-10.64444,-3.745942,-13.05795,-4.377623,-12.21404,-18.11417,-11.70861,-10.55252,-10.69048,-0.2167433,-13.28587,-9.899858,-8.004682,0.4975085,-10.70065,-11.51048,-10.25241,-2.59146,-13.45726,-9.166282,-6.7841,-8.226974,-4.23532,-11.29533,-1.286515,-8.468642,-10.33658,-13.95272,-14.62054,-15.74358,-7.72773,-7.50483,-5.575868,-3.610615,-6.048712,-12.30648,-4.645922,-14.60342,-17.04156,-17.26468,-2.580582,-14.05562,-1.925757,-10.50889,-7.230247,-6.959753,-7.188052,-2.164874,-2.777262,-10.39652,0.223682,-12.77367,-4.036923,-14.87267,-10.28015,-13.50247,-5.159657,-13.82578,-11.20438,-14.07798,-8.349833,-6.759126,-9.298619,-10.78517,-10.36503,-4.325045,-3.403608,-0.5906805,-3.156632,-10.37536,-9.960282,-10.23,-10.58326,16.77973,13.43724,3.546137,5.401397,6.731188,4.390693,Cherokee County,Alabama
